# 2-theta (degrees)	Intensity
14.880010983872312	13.664391574440975
18.250097875400975	0.4711089523551292
23.628379394519484	20.02397403642606
25.921057650989898	14.482060853663818
30.018615182042748	37.673159024595705
31.886543461578015	0.9311271827749081
33.66130623559974	4.578089345181847
35.35708025628937	100.0
36.98487357368703	2.400423035468885
38.55343687087244	1.98093790757165
40.06986345828853	1.5210485708508408
42.96872858809475	14.798662058401057
44.36018675726345	0.8744808519346131
45.71790892619794	1.4102716709158045
47.04494792035909	0.011147737681444288
49.6172843908075	6.140804998333237
50.866975700188654	0.041392573463927905
53.30260235979769	13.74797808330245
54.49165007067599	1.0537025635665953
55.663343121093625	1.5536971007434248
56.81888982917377	30.681692531948592
59.08585660946092	3.5862383409076433
60.199210886593015	5.820898422217485
62.38993921295872	43.063109071185515
63.46883671389362	0.9297194352645517
64.53768381626456	1.3398103409751343
65.59711837260267	0.03629708042957156
66.64773789777121	0.011301269759894497
67.69010371663985	1.0412390055402037
68.72474462088051	2.1557650485675826
70.77282325188227	5.4904007678796845
71.78718328657254	1.0175803912787835
72.79566789304535	0.36731684140366
73.79868527742333	9.700267933806847
74.79662603965484	2.0829652922671142
75.7898648693189	1.97287711524143
76.77876208954042	0.12522858130247383
78.74490951496692	1.6328925344706013
79.7228206738589	0.4971052670171094
80.69771443256607	0.6242578029952534
81.66989835157106	0.008865827294865663
83.60733100262968	0.6684843150997032
84.57316161511156	1.7100333464743973
86.50046896618483	5.702300989636424
87.4625011451027	0.11194912444396954
88.42381791916651	0.5470842848198595
89.38469102919905	15.580727094216611
