# 2-theta (degrees)	Intensity
17.49176015492826	0.13961210725495785
24.473611937314026	0.09431617067963835
35.14752008394764	90.13231457810727
35.4086091918988	0.01997329506525353
39.75366476355064	100.0
42.85407523212483	39.48843144788849
43.51510201830377	0.023270972864077498
46.61884693000072	0.02283886036610035
50.749411568786776	0.012895419734344995
50.94386510251175	0.009758963997766995
56.761248818286454	0.011032773819057018
57.300453910097666	0.030947616054691613
57.47946411649129	29.406626249972035
59.87493143918785	51.03693677478636
66.49166830218908	0.012972760658506142
67.89353911490072	0.00510602814783346
68.7050090659683	0.0065410349475466005
69.18973744955343	24.7562846033237
73.50993325374773	10.334917186706887
74.29466117453059	24.537400706163197
74.76404121610236	0.012690136256530354
74.92026710892122	0.0010613564306785922
77.64764062247276	0.009141555337274034
78.96728348743186	0.004161764253977443
82.4165131987428	0.013184373236320643
84.32475294126756	0.002368056060637159
85.53583814469243	0.00537279443538271
85.687072207953	8.078594025923397
89.63271844641105	0.0074329173785348404
