# 2-theta (degrees)	Intensity
19.26874325141474	100.0
36.477655413433766	0.4856108571360362
36.92519717042705	21.06385511386792
38.670926612375034	22.50856252821847
39.11107637633985	2.8207532477295136
39.93770607106872	6.008017805115763
43.16413968593855	5.8078448050005
45.0851020292535	23.267782200010323
49.455620032724966	21.019928685879407
51.876457885737025	1.3783411171894713
57.13459975000313	0.20744175553819272
59.95677786946625	13.131985471554037
60.27549970846972	1.1003877503484303
65.35879601182317	13.94328226776911
65.96539298503892	9.27268582539815
68.84355858664146	13.586794931342443
69.1490743521468	0.2284608872103355
75.8831665155017	0.417836584191958
77.23085482277996	0.026702584114814267
77.50496042279623	2.3197759586991364
78.59855113782014	2.5741207992810313
78.88031895777263	2.638900941426786
79.41596781644724	0.40929039264178463
79.4430458836068	4.048676505988123
81.58560975762221	0.47799221972238054
82.9352879118322	3.2667150140214627
84.04784876995839	1.4192956551912321
86.15994702886945	3.4896802192441863
86.99046746985103	2.657014249980478
88.03472911703946	0.18245110317148838
