# 2-theta (degrees)	Intensity
17.985090605627295	53.10596153519923
17.9870293935211	17.75343857092273
20.797891183549567	23.81680035716555
29.577603622584462	51.48264534840846
29.58002925094031	10.131666095636811
34.832551549070395	47.84672361672203
34.8346477500517	91.81306077811256
34.835695809217775	100.0
36.4334144218334	3.8810553520907893
36.43744643488918	13.631491280486467
42.323501027340264	75.62189504077816
46.32845904370336	1.61116241223226
46.33094203386861	4.655389420644015
46.33342492132085	2.4232675118728437
47.60680891376906	4.9323977306428235
47.61005130000084	2.3297674809367734
52.47664847454011	1.8212930580883733
52.48117739423726	17.39090806039466
52.48268697305179	1.8041100182903052
55.928152038431115	6.1186202112204615
55.931042941507414	28.299939923885013
55.933211054082534	31.06472327206783
55.93465643164523	22.546895071229685
61.39609074343353	59.77704507055017
61.40154576040997	60.638776416389476
64.53884269049051	0.45110816421041444
64.54149493755371	1.6343956509996245
64.54481016418899	7.516767500191916
64.54547319855838	0.8103100712122588
65.56678449342688	0.443389584703607
65.57204484791085	1.8340740976793202
65.57467494289078	1.6867537143949862
69.60936744611307	1.2456111528725926
69.6131995432668	6.690235424077364
72.5653156723581	4.192761161449067
72.57284548767885	9.802179020748309
72.57472789296895	9.86376453952447
73.54278098288586	3.5860091807787837
73.54777487136653	4.536117411993792
73.55027176740371	2.73938074274792
77.39723518271646	2.7915235925840585
77.40705019632354	8.35770552440782
80.25372465179235	3.5278463452704383
80.25676182230748	0.46182452009549707
80.25919153881516	0.5711681735124076
80.26101381458817	0.8523457011143132
80.2628360804138	0.81562621956229
81.20112761281658	1.0487412340711193
81.2083971316717	1.456624430534948
84.95964451647232	3.8161650582475213
84.965654426446	0.9515581662976489
84.96926034577012	4.403144186238623
84.97046231443808	0.9652456526895511
87.76402789878433	3.8341261183515774
87.76762264999547	3.618892101112418
87.77061826928818	9.772036029326918
87.77301476033198	6.684589399222625
87.77481212605649	4.381023847610704
87.77601036865565	10.963973409791187
